Accession,110714_yeast_ups1_2fmol_r1,110714_yeast_ups1_2fmol_r2,110714_yeast_ups1_2fmol_r3,110714_yeast_ups1_4fmol_r2,110714_yeast_ups1_4fmol_r3,110714_yeast_ups1_4fmol_r4,110616_yeast_ups_10fmol,110616_yeast_ups_10fmol_r2,110616_yeast_ups_10fmol_r3,110618_yeast_ups_25fmol_r1,110618_yeast_ups_25fmol_r2,110618_yeast_ups_25fmol_r3,110618_yeast_ups_50fmol_r1,110618_yeast_ups_50fmol_r2,110618_yeast_ups_50fmol_r3
P02768ups,"1631970,358","1564213,628","1225776,722","2280319,85","2020222,34","3500138,203","3931687,747","2715316,12","2249414,364","7672800,553","5715744,16","8007694,012","14170408,05","8450106,295","9323650,28"
P02787ups,"2212574,687","1860224,784","1623286,438","2958176,709","2438424,284","4082824,31","4664071,349","3025729,509","2663232,916","9398466,233","7563425,538","10587661,76","16409074,33","9476020,194","10354434,48"
P02788ups,"2750775,563","2327828,503","1981513,557","3689056,444","3304724,447","5146522,07","6962234,972","4855991,396","3007193,587","15084092,31","13015247,1","17795589,84","27842623,5","16434125,44","18139139,15"
P10636-8ups,"1764390,281","1458767,213","1268176,144","2314466,983","1843820,377","3605064,315","3497281,208","2653392,897","2226529,647","8366197,524","6617033,636","8670428,657","14494030,52","8661951,474","9503136,001"
P19097,"3289352,492","2915790,255","2521383,32","3542545,75","4043925,089","3172731,052","1899339,277","1296596,117","974854,714","1352316,755","1121882,121","1584858,209","1692938,855","1185996,595","1529259,827"
P01008ups,"1577166,35","1430477,758","1234137,362","2331228,731","1853146,726","3419065,786","4080692,482","3182579,909","2732917,806","10222306,85","8423268,453","12140601,94","17813192,77","10968134,29","11767592,31"
P31539,"7273095,88","6474825,418","5595800,008","7646730,701","8458641,457","7119630,874","3978737,662","2662052,264","2106761,385","2868379,849","2211565,679","3162037,835","2875540,293","2079477,449","2582788,538"
P04040ups,"1419428,034","1274560,752","1074024,263","2170365,334","1764152,777","3094628,236","3370381,979","2223905,279","2227474,286","8396107,939","5286480,543","7892951,125","14952465,75","7971611,367","9249045,22"
P19414,"13055874,47","11193533,49","9534957,906","13859846,65","15976231,38","12172833,07","8568699,873","5657962,887","3555754,523","5887521,573","4967241,184","6875356,358","6091802,697","4144888,985","5321972,495"
P32324,"8619659,86","7813921,314","6529803,604","9160628,516","10111000,14","8718883,238","4724289,559","3368907,129","2951019,096","3590631,108","2907471,102","3850248,92","3752895,121","2658756,407","3364171,871"
O76070ups,"2743512,708","2220521,108","1942237,262","3434189,417","3459573,977","4685273,359","6339811,946","3880330,403","2516378,221","10956284,04","9267411,957","12563585,15","19093919,71","11807971,57","12491530,56"
P12081ups,"3093136,035","2841233,145","2479209,213","3639281,897","3591978,103","4223456,815","3338687,621","2269163,101","2221597,832","5025543,014","3736484,652","4870517,689","7450791,409","4882580,275","5801101,05"
P07149,"2616315,233","2352830,4","1997232,374","2804936,238","3200810,461","2587274,691","1500286,245","1022177,817","758321,7576","1085809,371","888014,193","1289190,462","1206856,844","832721,5591","1051066,392"
P00560,"17591710,04","15022202,16","13573021,29",17645056,"20524452,15","16602616,62","12267916,51","7954098,84","5056837,607","8091235,607","6887666,663","10102678,03","8878995,705","6246435,713","7949702,897"
